,date,author,twitter_name,text,number_of_likes,number_of_retweets
0,2023-02-28 19:28:33+00:00,Editorial Pontificia Universidad Javeriana,EditorialPUJ,"¡Felicitamos al equipo de #BiblotecasPUJ! Nos enorgullece hacer parte de este gran proyecto.
✌️🫰
Más información: https://t.co/46qDkGbshf",0,0
1,2023-02-28 18:41:10+00:00,hannah baker,gabrielacxss,la javeriana es un lugar muy pequeño,1,0
2,2023-02-28 18:29:00+00:00,Pesquisa Javeriana,PesquisaPUJ,"Investigadora javeriana considera que la vivienda de madera puede reportar beneficios económicos para el país, en la medida en que su utilización puede generar empleo y una oportunidad para que los menos favorecidos accedan a una vivienda de calidad.
➡️https://t.co/jFLBc5Mv5N https://t.co/FoGO12L7yJ",0,0
3,2023-02-28 18:15:00+00:00,Pontificia Universidad Javeriana,UniJaveriana,"El pasado 25 de febrero la @unijaveriana a través de sus @bibliotecaspuj donó 850 libros a la Biblioteca Pública de Subachoque Jorge Enrique Hernández Carrillo. El material fue donado por estudiantes, docentes, administrativos y egresados javerianos. https://t.co/ApZiMyJHgk https://t.co/6eLPQFfCti",4,1
4,2023-02-28 18:10:57+00:00,Colombiansusa,colombiansusa,"Abogada de la Universidad Javeriana y Máster en Derecho Internacional de la Universidad de Cornell en Nueva York, Ángela María Tafur es el cerebro detrás de “Give to Colombia”.",0,0
5,2023-02-28 17:01:49+00:00,Agronegocios,agronegocios_co,"""El agro se marchita entre normas y gobiernos"", Iván Camilo Jiménez Uribe, profesor de la Facultad de Ciencias Jurídicas de la Javeriana  https://t.co/n66quAfUyL",0,0
6,2023-02-28 16:53:41+00:00,Towers - Arco 1: Esperanza,JulianTowers,@LucianaManfred5 Me acuerdo muy bien de ese nombramiento de aquel profesor de la Javeriana que abusaba de su posición. De feminismo y de cambio solo es el nombre.,0,0
7,2023-02-28 16:50:45+00:00,Educación Continua Javeriana Bogotá,EduContinuaPUJ,"#EducaciónVirtualJaveriana
Conoce nuestra oferta de programas virtuales y cursos cortos para que sigas cumpliendo nuevos retos ¡Es el momento! 

Informes en: https://t.co/S5dCRJCGI5 https://t.co/8vAQN4uoKK",0,0
8,2023-02-28 16:30:45+00:00,La pupileta,huesosandres,@motosadti Aizu ramen izakaya Cll 40b #7 - 61 ahi cerca de la javeriana; de los mejores y es muy tradicional; tienen Happy Hour y hacen actividades de cultura Japonesa tradicional,0,0
9,2023-02-28 16:23:57+00:00,Genética Humana PUJ,GeneticaPUJ,Síndrome de Usher- Profesora IGH. Dra. ML Tamayo. #OrgulloIGH @MedicinaPUJ Línea Visual-Auditivo. El caso del silencio en la oscuridad: un trabajo integral que trasciende la ciencia.👁️🦻🧬https://t.co/kzmF1hfUyC,2,2
10,2023-02-28 16:14:10+00:00,🌞,MichelleAmelie,"Hagamos realidad el slogan de Javeriana estéreo, música sin fronteras",1,0
11,2023-02-28 16:03:46+00:00,Pontificia Universidad Javeriana,UniJaveriana,"Te invitamos a apoyar a niños y niñas en condición de vulnerabilidad, jóvenes y mujeres migrantes del barrio Altos de la Florida, Soacha. Participa en la Colecta Solidaria con ropa, alimentos no perecederos y útiles.
🗓️ Jueves, 10 a.m. -  2 p.m.
➡️ https://t.co/2QczfAJjK0 https://t.co/k6wYcNnyUE",2,2
12,2023-02-28 15:40:54+00:00,Pesquisa Javeriana,PesquisaPUJ,"Uno de los mayores desafíos de país son las brechas en la #educación pública y privada, rural y urbana. ¿Qué hacer para solucionarlo? En #CartaALaNacion se proponen algunas ideas, conózcalas aquí ⤵️
https://t.co/11OhrNzZGy
#CambiarMinistrosEs https://t.co/9eDYFP73Gt",0,0
13,2023-02-28 15:00:41+00:00,Pesquisa Javeriana,PesquisaPUJ,El Instituto de Genética Humana (@GeneticaPUJ) de la @UniJaveriana no solo investiga el síndrome de #Usher —una enfermedad que afecta la retina y el oído drásticamente— sino que atiende los diferentes ámbitos sociales y humanos de esta enfermedad. https://t.co/b2swL5HWFR https://t.co/NdLA6oWRa2,0,0
